Account,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Text
Fox News,-0.0258,Wed Mar 07 19:04:10 +0000 2018,0.659,0.174,0.168,North Korean defector describes nation's perception of United States; @EricShawnTV reports. #OutnumberedOT https://t.co/eAjIACofoO
Fox News,-0.7579,Wed Mar 07 18:58:16 +0000 2018,0.683,0.317,0.0,"BREAKING NEWS: Nikolas Cruz formally charged with 17 counts of murder in Valentine’s Day massacre
https://t.co/dPIkZIM2Ce"
Fox News,0.0,Wed Mar 07 18:54:19 +0000 2018,1.0,0.0,0.0,".@kayleighmcenany on #TXprimary: ""Not a blue wave at all... We had a half million more voters."" #OutnumberedOT https://t.co/ItayHmASza"
Fox News,0.0,Wed Mar 07 18:48:37 +0000 2018,1.0,0.0,0.0,U.S. Senate primary election in Texas - Total votes. https://t.co/S8pgT71CYq
Fox News,0.7351,Wed Mar 07 18:48:09 +0000 2018,0.575,0.097,0.327,".@kayleighmcenany: ""@POTUS won Pennsylvania, Wisconsin - states no Republican has won since the 1980s. These states… https://t.co/DklVOI583M"
Fox News,0.3182,Wed Mar 07 18:45:34 +0000 2018,0.85,0.0,0.15,".@Zac_Petkanas on #TXPrimary: ""We had a 105% increase in primary turnout over 2014."" #OutnumberedOT https://t.co/VygXUenluE"
Fox News,0.2933,Wed Mar 07 18:43:55 +0000 2018,0.825,0.0,0.175,".@RepPeteKing: ""Democrats want this to never end... There's no evidence at all of any Russian collusion.""… https://t.co/rb6o5sS3Ez"
Fox News,0.4215,Wed Mar 07 18:42:36 +0000 2018,0.843,0.0,0.157,"RT @FoxBusiness: .@Target raises minimum wage to $12, with hopes of hitting $15 by 2020   https://t.co/G6X0SMQJUC"
Fox News,0.4767,Wed Mar 07 18:33:05 +0000 2018,0.807,0.0,0.193,"Google's artificial intelligence is being used by US military drone program, prompting concerns… https://t.co/bdWNtsvNL4"
Fox News,0.0,Wed Mar 07 18:27:48 +0000 2018,1.0,0.0,0.0,Nikolas Cruz's jail records reveal details of gunman's behavior in days after Florida school shooting https://t.co/T7xE2t30AW
Fox News,-0.5154,Wed Mar 07 18:21:02 +0000 2018,0.666,0.232,0.102,".@DarrellIssa: ""This is making my state less safe. And shame on my governor. Shame on my attorney general... Shame… https://t.co/bWQaKIuQRM"
Fox News,0.4215,Wed Mar 07 20:22:41 +0000 2018,0.833,0.0,0.167,".@RepPeteKing: Dems Hoping Russia Probe Will 'Never End,' Are Leaking Closed Testimony to Media… https://t.co/R2HWRVDUWL"
Fox News,-0.128,Wed Mar 07 20:13:33 +0000 2018,0.923,0.077,0.0,".@PressSec on @POTUS' advisers: ""At the end of the day, the American people voted overwhelmingly for President Dona… https://t.co/iSiw6ThQ6i"
Fox News,-0.6908,Wed Mar 07 20:09:53 +0000 2018,0.68,0.32,0.0,Connecticut Governor @GovMalloyOffice: The @NRA Has Become a 'Terrorist Organization' https://t.co/7GmpB2IrU7 https://t.co/KKTyNEBgwm
Fox News,0.743,Wed Mar 07 20:06:46 +0000 2018,0.711,0.0,0.289,".@PressSec on trade talks with China: ""[@POTUS] feels like the United States has been taken advantage of for far to… https://t.co/1kPgglH79b"
Fox News,-0.2263,Wed Mar 07 20:02:17 +0000 2018,0.829,0.107,0.063,".@PressSec on admin resignations: ""This is an intense place, as [is] every @WhiteHouse, and it's not abnormal that… https://t.co/A11fP4JkLU"
Fox News,-0.3818,Wed Mar 07 19:57:21 +0000 2018,0.833,0.167,0.0,".@PressSec: ""@SenSchumer is blocking nominees indiscriminately. He forces time-wasting procedural votes on nominees… https://t.co/PlGewVUYix"
Fox News,0.0,Wed Mar 07 19:45:55 +0000 2018,1.0,0.0,0.0,.@PressSec holds a White House briefing.  https://t.co/9P6qJX3VQm
Fox News,-0.6908,Wed Mar 07 19:27:52 +0000 2018,0.63,0.37,0.0,Connecticut Governor: The NRA Has Become 'Terrorist Organization' https://t.co/YKeBWSBmdr
Fox News,0.0,Wed Mar 07 19:18:17 +0000 2018,1.0,0.0,0.0,Patriotic Teens Replace Family's Tattered American Flag https://t.co/4o6xzuDxKW
Fox News,-0.0258,Wed Mar 07 19:04:10 +0000 2018,0.659,0.174,0.168,North Korean defector describes nation's perception of United States; @EricShawnTV reports. #OutnumberedOT https://t.co/eAjIACofoO
Fox News,-0.7579,Wed Mar 07 18:58:16 +0000 2018,0.683,0.317,0.0,"BREAKING NEWS: Nikolas Cruz formally charged with 17 counts of murder in Valentine’s Day massacre
https://t.co/dPIkZIM2Ce"
Fox News,0.0,Wed Mar 07 18:54:19 +0000 2018,1.0,0.0,0.0,".@kayleighmcenany on #TXprimary: ""Not a blue wave at all... We had a half million more voters."" #OutnumberedOT https://t.co/ItayHmASza"
Fox News,0.0,Wed Mar 07 18:48:37 +0000 2018,1.0,0.0,0.0,U.S. Senate primary election in Texas - Total votes. https://t.co/S8pgT71CYq
Fox News,0.7351,Wed Mar 07 18:48:09 +0000 2018,0.575,0.097,0.327,".@kayleighmcenany: ""@POTUS won Pennsylvania, Wisconsin - states no Republican has won since the 1980s. These states… https://t.co/DklVOI583M"
Fox News,0.3182,Wed Mar 07 18:45:34 +0000 2018,0.85,0.0,0.15,".@Zac_Petkanas on #TXPrimary: ""We had a 105% increase in primary turnout over 2014."" #OutnumberedOT https://t.co/VygXUenluE"
Fox News,0.2933,Wed Mar 07 18:43:55 +0000 2018,0.825,0.0,0.175,".@RepPeteKing: ""Democrats want this to never end... There's no evidence at all of any Russian collusion.""… https://t.co/rb6o5sS3Ez"
Fox News,0.4215,Wed Mar 07 18:42:36 +0000 2018,0.843,0.0,0.157,"RT @FoxBusiness: .@Target raises minimum wage to $12, with hopes of hitting $15 by 2020   https://t.co/G6X0SMQJUC"
Fox News,0.4767,Wed Mar 07 18:33:05 +0000 2018,0.807,0.0,0.193,"Google's artificial intelligence is being used by US military drone program, prompting concerns… https://t.co/bdWNtsvNL4"
Fox News,0.0,Wed Mar 07 18:27:48 +0000 2018,1.0,0.0,0.0,Nikolas Cruz's jail records reveal details of gunman's behavior in days after Florida school shooting https://t.co/T7xE2t30AW
Fox News,-0.5154,Wed Mar 07 18:21:02 +0000 2018,0.666,0.232,0.102,".@DarrellIssa: ""This is making my state less safe. And shame on my governor. Shame on my attorney general... Shame… https://t.co/bWQaKIuQRM"
Fox News,0.4019,Wed Mar 07 18:14:29 +0000 2018,0.87,0.0,0.13,".@Judgenap: ""The Democratic Party that runs California is so beholden to the immigrant rights groups it is willing… https://t.co/gidYEfWrpa"
Fox News,-0.6249,Wed Mar 07 18:10:36 +0000 2018,0.758,0.242,0.0,".@DarrellIssa: ""When California thwarts the law, those criminals don't all stay in California. They'll go to adjace… https://t.co/Pu23SejFLm"
Fox News,-0.5106,Wed Mar 07 18:06:46 +0000 2018,0.852,0.148,0.0,".@AGBecerra: ""You could trace all of this back to the fact that... the Trump Administration has just failed utterly… https://t.co/uGeDeDY6Ei"
Fox News,0.0,Wed Mar 07 18:00:35 +0000 2018,1.0,0.0,0.0,"Sessions unloads on California Dems for ‘radical, open borders agenda’ https://t.co/mEVgdv3CGT"
Fox News,0.0,Wed Mar 07 17:59:26 +0000 2018,1.0,0.0,0.0,RT @FoxBusiness: Gary Cohn and the meeting that may have ended his White House role https://t.co/RoHNVDAUZ1
Fox News,-0.4215,Wed Mar 07 17:56:39 +0000 2018,0.833,0.167,0.0,".@ChelseaClinton pushes #MeToo, but gets no questions on @BillClinton's actions or Harvey Weinstein donations. https://t.co/ZokQijpJA5"
Fox News,0.3612,Wed Mar 07 17:54:39 +0000 2018,0.865,0.0,0.135,".@guypbenson: ""@BillClinton... is like the poster child of anti-#MeToo for much of his adult life."" #Outnumbered https://t.co/vtp9wlDKZ3"
Fox News,-0.4404,Wed Mar 07 17:50:43 +0000 2018,0.48,0.295,0.225,"Ingraham Hits Back at Bush Over Trump Jab: Endless War, Financial Crisis Was Not 'Pretty Good' https://t.co/sseZLyAxxb"
Fox News,-0.4939,Wed Mar 07 17:41:52 +0000 2018,0.824,0.176,0.0,"Breaking News: Ex-Russian spy, daughter poisoned by nerve agent in ‘targeted’ act, British authorities say https://t.co/kOruZVejf8"
Fox News,0.0,Wed Mar 07 17:40:00 +0000 2018,1.0,0.0,0.0,"""After years of rebuilding other countries - and we have built a lot of countries - it's time to start building our… https://t.co/s5jQPJFuwp"
Fox News,0.5574,Wed Mar 07 17:36:00 +0000 2018,0.777,0.0,0.223,"""The American dream is back and stronger than ever.""

WATCH: President @realDonaldTrump's full remarks to the Latin… https://t.co/WrTzQ4oUBZ"
Fox News,-0.6369,Wed Mar 07 17:35:19 +0000 2018,0.724,0.276,0.0,".@HeyTammyBruce: Unchallenged liberalism leaves homelessness, drug abuse, garbage in its wake https://t.co/spgif91wB1"
Fox News,0.0,Wed Mar 07 17:22:41 +0000 2018,1.0,0.0,0.0,".@POTUS: ""This is our time. This is our moment. Go get DACA. Go push those Democrats."" https://t.co/5LyKi7Rhdo"
Fox News,0.5106,Wed Mar 07 17:20:24 +0000 2018,0.864,0.0,0.136,".@POTUS: ""When our people are free to live their lives and to follow their hearts, there is nothing, nothing at all… https://t.co/PLpJygvgsV"
Fox News,0.0,Wed Mar 07 17:17:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""After years of rebuilding other countries - and we have built a lot of countries - it's time to start bui… https://t.co/lYAVJHSJLU"
Fox News,0.0,Wed Mar 07 17:15:45 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We're trying to have a DACA victory for everybody, by the way, and @TheDemocrats are nowhere to be found."" https://t.co/5gFedacT7G"
Fox News,0.4215,Wed Mar 07 17:12:49 +0000 2018,0.696,0.091,0.213,".@POTUS: ""Over 4 million workers have already received tax cut bonuses and the number continues to grow every singl… https://t.co/IvI4bwUCse"
Fox News,0.25,Wed Mar 07 17:11:08 +0000 2018,0.895,0.0,0.105,".@POTUS: ""We've created nearly 3 million jobs since the election... Today we have more Hispanic Americans working t… https://t.co/YgeBKEvQpK"
Fox News,0.5574,Wed Mar 07 17:08:09 +0000 2018,0.662,0.0,0.338,".@POTUS: ""The American dream is back and stronger than ever."" https://t.co/7bTimUkfJd"
Fox News,0.4404,Wed Mar 07 17:07:45 +0000 2018,0.854,0.0,0.146,".@POTUS: ""The Latino business community - and you folks are good business-people, I know that. I know that for a fa… https://t.co/olUpbBNCmB"
Fox News,0.0,Wed Mar 07 17:03:00 +0000 2018,1.0,0.0,0.0,.@POTUS delivers remarks at the Latino Coalition Legislative Summit https://t.co/TKX1PD7a4r
Fox News,-0.296,Wed Mar 07 16:58:00 +0000 2018,0.879,0.121,0.0,"AG Sessions: ""Stop treating immigration agents differently of everybody else for the purpose of eviscerating border… https://t.co/1gb6XkjKur"
Fox News,0.0,Wed Mar 07 16:56:00 +0000 2018,1.0,0.0,0.0,"AG Sessions: ""Here's my message to Mayor @LibbySchaaf: 'How dare you? How dare you needlessly endanger the lives of… https://t.co/7jcbr55IET"
Fox News,-0.0258,Wed Mar 07 16:47:26 +0000 2018,0.637,0.185,0.178,North Korean defector describes nation's perception of United States; @EricShawnTV reports. https://t.co/mKKu9NMxWG
Fox News,-0.5106,Wed Mar 07 16:44:35 +0000 2018,0.784,0.216,0.0,NBA owner Mark Cuban was investigated for sexually assaulting woman in 2011 https://t.co/CYJKuXgUCD
Fox News,-0.7351,Wed Mar 07 16:35:14 +0000 2018,0.763,0.237,0.0,"AG Sessions: ""According to Acting Dir. Homan, ICE failed to make 800 arrests that would have been made if the mayor… https://t.co/Y8usTbNAHy"
Fox News,0.1027,Wed Mar 07 16:33:11 +0000 2018,0.766,0.108,0.126,"AG Sessions: ""Open borders is a radical, irrational idea that cannot be accepted... The United States of America is… https://t.co/M9B7keO3Pm"
Fox News,0.0,Wed Mar 07 16:25:29 +0000 2018,1.0,0.0,0.0,".@RepMattGaetz: ""In 2015, there was a federal court filing where Russian officials were calling Carter Page an idio… https://t.co/vCLWurwE9C"
Fox News,0.0,Wed Mar 07 16:19:55 +0000 2018,1.0,0.0,0.0,Attorney General Jeff Sessions makes a major sanctuary jurisdiction announcement https://t.co/6zAQn2UOUj https://t.co/9B55owLNC1
Fox News,-0.6705,Wed Mar 07 16:15:35 +0000 2018,0.667,0.333,0.0,"Missouri officer killed, 2 wounded responding to 911 call https://t.co/HypEjnCtXg https://t.co/fGC2sXbkqN"
Fox News,0.0,Wed Mar 07 16:09:30 +0000 2018,1.0,0.0,0.0,.@JerryBrownGov tweets about AG Jeff Sessons' visit to California. https://t.co/6zAQn2UOUj https://t.co/qwzHvX3HYS
Fox News,-0.2263,Wed Mar 07 16:05:19 +0000 2018,0.881,0.119,0.0,"COMING UP: AG Sessions expected to announce lawsuit against California over ""sanctuary state"" policies.… https://t.co/lyp8UDAXIV"
Fox News,0.4019,Wed Mar 07 15:59:54 +0000 2018,0.803,0.0,0.197,"On @foxandfriends, @TomiLahren slammed the priorities of today's Democratic Party. https://t.co/fJMaI5NlPC https://t.co/EruzVc1p0L"
Fox News,-0.765,Wed Mar 07 15:52:37 +0000 2018,0.694,0.306,0.0,".@NancyPelosi slams California @ICEgov raid as 'unjust and cruel,' amid outcry over mayor's tipoff to immigrants
https://t.co/zvkVpNYiHy"
Fox News,0.0,Wed Mar 07 15:48:17 +0000 2018,1.0,0.0,0.0,.@seanspicer Blasts 'Carnival Barker' Jim @Acosta Over Twitter Spat With Sanders https://t.co/SmjFs04L2P
Fox News,0.2584,Wed Mar 07 15:38:21 +0000 2018,0.903,0.0,0.097,".@TGowdySC: ""I don't know why the bureau would use opposition research in a court filing and they didn't bother to… https://t.co/9noNZPTapQ"
Fox News,0.8225,Wed Mar 07 15:35:04 +0000 2018,0.714,0.0,0.286,".@TomiLahren: ""I think [@tedcruz's] going to win. I think he's going to win big, as are the rest of the Republicans… https://t.co/X6CPVJRZhE"
Fox News,-0.34,Wed Mar 07 15:29:33 +0000 2018,0.806,0.194,0.0,First women attend Marine Combat Training Course at Camp Pendleton. https://t.co/HEs7GW2I0E
Fox News,-0.2263,Wed Mar 07 15:27:01 +0000 2018,0.888,0.112,0.0,Sen. @KamalaHarris slammed President @realDonaldTrump and his AG after the Trump @TheJusticeDept filed a lawsuit ag… https://t.co/Lq8M7s1afE
Fox News,0.0,Wed Mar 07 15:25:40 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/NrVJtslqyd
Fox News,0.0,Wed Mar 07 15:22:07 +0000 2018,1.0,0.0,0.0,Trump Administration resignations/firings. https://t.co/xU9KZNRC6I
Fox News,0.5267,Wed Mar 07 15:22:03 +0000 2018,0.82,0.0,0.18,"RT @FoxBusiness: .@POTUS: ""I like different points of view, but the White House has a tremendous energy and we have tremendous talent."" htt…"
Fox News,0.128,Wed Mar 07 15:15:03 +0000 2018,0.919,0.0,0.081,TONIGHT: Attorney General Jeff Sessions sits down with @ShannonBream for an exclusive interview on “Fox News @ Nigh… https://t.co/iHUGv0EQga
Fox News,0.34,Wed Mar 07 15:14:59 +0000 2018,0.87,0.0,0.13,".@MarshaBlackburn: ""Secure the Southern border, end chain migration, end the diversity lottery, get this wall built… https://t.co/2aoBbBjypT"
Fox News,0.0,Wed Mar 07 15:10:37 +0000 2018,1.0,0.0,0.0,".@PressSec: ""[#GaryCohn's] been an integral member of the administration and he's going to continue to be a voice t… https://t.co/RTI25d81hm"
Fox News,0.4404,Wed Mar 07 14:54:58 +0000 2018,0.805,0.0,0.195,'We're Always Faithful to One Another': Marine Donates Kidney to Fellow Marine https://t.co/7y99p7AeRE
Fox News,-0.9001,Wed Mar 07 14:51:45 +0000 2018,0.421,0.579,0.0,"Missouri police officer killed, 2 others wounded in shooting; suspect dead https://t.co/ah4FXgVmyL"
Fox News,-0.34,Wed Mar 07 14:22:32 +0000 2018,0.806,0.194,0.0,"20-year-old sues Dick's, Walmart over new gun policies (via @FoxBusiness) https://t.co/7yrhzGXh6U"
Fox News,0.2732,Wed Mar 07 14:13:21 +0000 2018,0.725,0.111,0.164,".@TGowdySC: “The Department of Justice has a conflict, so they should not conduct this investigation… I think speci… https://t.co/VAjzWsCyiY"
Fox News,0.0,Wed Mar 07 14:05:08 +0000 2018,1.0,0.0,0.0,'It Makes Me Angry': Biden Says Some Dems 'Don't Get' Blue-Collar Voters https://t.co/fJMaI5NlPC
Fox News,0.296,Wed Mar 07 14:02:08 +0000 2018,0.879,0.0,0.121,.@WVGovernor: “Every aspect of what the Trump administration is doing is helping us in every way.” https://t.co/szzi9G6pzY
Fox News,0.0,Wed Mar 07 13:47:05 +0000 2018,1.0,0.0,0.0,"RT @FoxBusiness: .@stevenmnuchin1: ""NAFTA is an old deal. [@POTUS] wants to renegotiate that deal."" https://t.co/QGgis0u789"
Fox News,0.4767,Wed Mar 07 13:46:51 +0000 2018,0.773,0.0,0.227,"RT @FoxBusiness: .@stevenmnuchin1: ""This is about making sure that American companies have a level playing field."" https://t.co/Vp2VzPRena…"
Fox News,0.2023,Wed Mar 07 13:43:18 +0000 2018,0.904,0.0,0.096,".@SenatorTester: “Dodd-Frank, when passed after the meltdown… was an important piece of legislation to hold Wall St… https://t.co/YqoFBhSHu2"
Fox News,0.0,Wed Mar 07 13:39:25 +0000 2018,1.0,0.0,0.0,.@SenatorTester: “I believe in the Second Amendment.” https://t.co/KZ4bm8cCtx
Fox News,0.7269,Wed Mar 07 13:35:55 +0000 2018,0.697,0.0,0.303,".@SenatorTester: “We need to work to keep our kids safe, while respecting the Second Amendment.” https://t.co/5TEVk4bFvX"
Fox News,-0.296,Wed Mar 07 13:31:14 +0000 2018,0.864,0.136,0.0,OPINION: Trump’s North Korea pressure campaign is working -- Here’s what must happen next https://t.co/kn5GqGIAE1
Fox News,0.2732,Wed Mar 07 13:29:54 +0000 2018,0.792,0.0,0.208,.@RepKevinBrady: The president feels strongly about trade. @foxandfriends https://t.co/7UksdtVPEx
Fox News,-0.4019,Wed Mar 07 13:27:41 +0000 2018,0.748,0.252,0.0,"Plane crashes into Florida home, two people injured https://t.co/TKSV1YFHaq"
Fox News,0.4588,Wed Mar 07 13:19:38 +0000 2018,0.818,0.0,0.182,"Sgt. Bryan Weber: “Of course I’m going to want to do what I can, my part, to help him.” @foxandfriends https://t.co/qaDx16PN0H"
CNN,0.0,Wed Mar 07 20:29:18 +0000 2018,1.0,0.0,0.0,"WH press secretary Sarah Sanders said that as far as she knows, President Trump wasn't aware of a payment made by h… https://t.co/0hy11PJvrK"
CNN,0.1779,Wed Mar 07 20:17:08 +0000 2018,0.928,0.0,0.072,Amazon could wind up with more than 70 million banking customers over the next five years if it started to offer ch… https://t.co/qpoXZZYSul
CNN,0.0,Wed Mar 07 20:10:39 +0000 2018,1.0,0.0,0.0,Russian President Vladimir Putin in a recent interview separated a conciliatory attitude toward President Trump fro… https://t.co/gtwgpyCpHz
CNN,0.8176,Wed Mar 07 20:07:34 +0000 2018,0.691,0.0,0.309,RT @CNNPolitics: Sanders: Veterans Affairs Secretary David Shulkin “has done a great job” on a number of the things and “we’re proud of the…
CNN,-0.1655,Wed Mar 07 20:02:07 +0000 2018,0.808,0.109,0.083,"The US FDA gave its approval to a 23andMe test that screens for a few breast and ovarian cancer genes, but that app… https://t.co/1CxE97nx2g"
CNN,0.0,Wed Mar 07 19:59:31 +0000 2018,1.0,0.0,0.0,"RT @CNNPolitics: CNN's Jeff Zeleny: Was President Trump aware of the payment made to Stormy Daniels?

Sanders: ""The President has addressed…"
CNN,0.0,Wed Mar 07 19:58:37 +0000 2018,1.0,0.0,0.0,Jaguar reveals its first electric SUV https://t.co/d9zbBNs5sn https://t.co/f5Oj3Rbx9O
CNN,0.0,Wed Mar 07 19:56:03 +0000 2018,1.0,0.0,0.0,"RT @CNNPolitics: White House press secretary Sarah Sanders on staff turnover at the White House: ""It's not abnormal that you would have peo…"
CNN,0.8225,Wed Mar 07 19:50:04 +0000 2018,0.677,0.0,0.323,"Inspired by a TED Talk, this 16 year-old boy started a pilot program that hires homeless people to help clean up Sa… https://t.co/VqFLfMYSc9"
CNN,0.0,Wed Mar 07 19:47:41 +0000 2018,1.0,0.0,0.0,"The White House is holding a press briefing. Watch CNN: https://t.co/UYpqI3w42L

Watch on Facebook:… https://t.co/FmrnhiDRuu"
